identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
406056744,DOWNLOADABLE_EXECUTABLES,MacOS,true,true,,,,critical,"Java, JavaScript, React Native, TypeScript",2019-12-10 19:57:50 UTC,2021-10-15 18:31:12 UTC
accounts.evernote.com,URL,"",true,true,,,,critical,"Couchbase, Java",2019-10-28 20:32:26 UTC,2021-10-15 18:31:12 UTC
com.evernote,GOOGLE_PLAY_APP_ID,"",true,true,,,,critical,,2024-04-05 15:14:54 UTC,2024-04-05 15:14:54 UTC
accounts.stage.evernote.com,URL,This is the staging environment for accounts.evernote.com; vulnerabilities found here will not be eligible for bounty unless the vulnerability is also present in production.,false,true,,,,critical,,2020-05-27 13:35:56 UTC,2021-10-15 18:31:12 UTC
www.evernote.com,URL,www.evernote.com serves the main Evernote web app. It also exposes several HTTP and Thrift endpoints that the Evernote mobile/desktop apps use to communicate with the service. Almost all endpoints on the www. domain are routed by HAProxy to an array of Java based Tomcat/Struts shards.,true,true,,,,critical,"Apache Tomcat, Express, Google Cloud Platform, Java, JavaScript, Kubernetes, MySQL, Node.js, Spring, TypeScript",2019-10-28 20:32:10 UTC,2021-10-15 18:31:12 UTC
281796108,APPLE_STORE_APP_ID,"",true,true,,,,critical,"Java, JavaScript, React Native, TypeScript",2019-12-10 18:40:12 UTC,2021-10-15 18:31:12 UTC
com.evernote.android,GOOGLE_PLAY_APP_ID,"",false,false,,,,critical,"Java, JavaScript, React Native, TypeScript",2019-12-10 18:40:31 UTC,2024-04-05 15:15:35 UTC
api.evernote.com,URL,"api.evernote.com is the API gateway into Evernote's microservice infrastructure. The microservice infrastructure is managed by Istio and is provisioned by Google Kubernetes Engine (GKE). Traffic is HTTP or gRPC, depending on the service being interacted with.",true,true,,,,critical,"Docker, Express, Google Cloud Platform, Java, JavaScript, Kubernetes, Node.js, TypeScript",2020-12-07 23:46:02 UTC,2021-10-15 18:31:12 UTC
api.stage.evernote.com,URL,This is the staging environment for api.evernote.com; vulnerabilities found in this staging environment are not eligible for bounty *unless the vulnerability is verified in the corresponding production environments*.,false,true,,,,critical,,2020-12-07 23:47:43 UTC,2021-10-15 18:31:12 UTC
9wzdncrfj3mb,WINDOWS_APP_STORE_APP_ID,"",true,true,,,,critical,"React Native, TypeScript",2019-12-10 19:57:20 UTC,2021-10-15 18:31:12 UTC
